"","L","X","V","L_3","X_3","V_3","Porcentaje 1","Porcentaje 2","Rank1","Rank2","Tendencia_L","Tendencia_V","Victoria"
"1",0,0,1,0,0,1,63,13,9,20,60,30,"X"
"2",1,3,1,0,3,0,50,23,5,17,80,40,"X"
"3",0,1,4,0,1,2,19,58,10,1,70,100,"1"
"4",0,4,1,0,2,1,63,14,4,6,40,20,"1"
"5",1,1,3,1,1,1,39,28,11,13,85,45,"2"
"6",4,1,0,3,0,0,87,5,2,19,30,5,"1"
"7",2,2,1,2,1,0,52,20,7,18,60,20,"1"
"8",2,2,1,1,2,0,56,20,3,15,65,40,"1"
"9",2,1,1,2,1,0,45,28,3,7,90,90,"1"
"10",0,0,2,0,0,2,36,35,5,1,45,95,"X"
"11",1,1,3,1,1,1,49,23,9,19,60,0,"X"
"12",2,0,3,1,0,2,49,24,18,21,0,40,"1"
"13",2,0,3,2,0,1,50,22,2,8,40,55,"1"
"14",2,0,3,2,0,1,47,25,6,13,40,30,"1"
"15",0,4,1,0,2,1,33,36,15,9,5,85,"X"
"16",0,3,2,0,1,2,28,41,11,4,65,55,"1"
"17",0,2,3,0,2,1,35,36,19,17,35,10,"2"
"18",4,0,1,2,0,1,70,13,2,8,80,95,"1"
"19",1,1,3,1,1,1,44,25,13,14,45,30,"X"
"20",1,1,0,1,1,0,26,43,20,10,45,55,"2"
"21",2,0,3,0,0,3,14,69,12,1,40,60,"1"
"22",1,0,4,1,0,2,32,39,16,5,40,70,"2"
"23",3,1,1,3,0,0,38,32,6,7,0,25,"X"
"24",2,1,2,2,1,0,40,31,12,8,30,70,"X"
"25",1,2,0,1,2,0,44,25,7,11,60,0,"X"
"26",1,1,3,1,1,1,51,23,2,3,90,80,"1"
"27",0,3,2,0,1,2,41,30,14,1,75,70,"1"
"28",1,2,2,0,2,1,30,40,22,6,30,35,"X"
"29",0,0,5,0,0,3,38,31,15,8,50,80,"X"
"30",2,0,3,1,0,2,70,14,1,3,70,80,"1"
"31",2,1,2,2,0,1,31,40,18,10,10,50,"2"
"32",0,0,2,0,0,2,20,53,20,4,40,80,"2"
"33",0,2,3,0,1,2,39,31,17,7,15,15,"X"
"34",2,2,1,0,2,1,40,30,16,9,30,80,"1"
"35",2,3,0,0,3,0,39,32,11,6,60,95,"2"
"36",5,0,0,3,0,0,73,9,2,13,70,55,"2"
"37",0,2,3,0,2,1,33,34,22,10,25,35,"2"
"38",1,3,1,0,2,1,42,27,16,5,30,60,"2"
"39",0,2,3,0,1,2,58,19,2,1,80,60,"2"
"40",1,2,2,1,1,1,45,26,8,15,55,40,"X"
"41",0,0,1,0,0,1,30,40,20,6,35,50,"2"
"42",1,1,3,1,1,1,53,20,11,12,50,15,"1"
"43",0,2,3,0,0,3,33,34,11,5,70,65,"1"
"44",1,0,0,1,0,0,34,38,19,14,40,NA,"X"
"45",3,2,0,1,2,0,58,18,3,8,60,80,"1"
"46",1,1,3,1,1,1,30,41,6,2,100,40,"2"
"47",3,0,2,2,0,1,64,16,4,17,50,30,"1"
"48",3,2,0,2,1,0,37,32,13,12,65,75,"X"
"49",0,2,3,0,2,1,46,24,15,16,60,25,"1"
"50",3,0,2,2,0,1,50,22,7,20,30,10,"X"
"51",0,3,2,0,1,2,38,29,19,14,20,30,"X"
"52",0,3,0,0,3,0,47,25,5,18,80,55,"X"
"53",1,2,2,0,2,1,38,33,12,9,70,55,"1"
"54",2,1,0,2,1,0,46,27,1,10,80,10,"1"
"55",2,2,1,1,1,1,39,30,15,11,45,65,"2"
"56",1,1,1,1,1,1,51,21,4,17,80,20,"2"
"57",0,2,3,0,1,2,34,37,9,4,70,0,"X"
"58",2,1,2,0,1,2,20,57,19,3,60,50,"X"
"59",0,0,5,0,0,3,11,73,12,1,20,90,"2"
"60",1,4,0,1,2,0,76,8,2,17,60,10,"1"
"61",2,2,1,0,2,1,51,22,7,15,50,95,"1"
"62",2,1,2,1,0,2,33,34,16,6,25,50,"X"
"63",2,2,1,1,2,0,39,31,18,13,30,55,"1"
"64",2,1,2,1,0,2,30,40,19,5,5,35,"2"
"65",0,0,1,0,0,1,55,20,6,10,20,50,"1"
"66",0,2,3,0,2,1,42,27,16,7,65,70,"1"
"67",1,0,4,1,0,2,40,29,20,11,20,25,"1"
"68",2,1,2,1,1,1,40,32,17,1,65,70,"1"
"69",1,1,3,0,1,2,31,39,22,4,10,100,"1"
"70",2,1,2,1,1,1,42,28,13,12,30,45,"2"
"71",0,5,0,0,3,0,39,31,17,5,80,25,"1"
"72",0,1,4,0,1,2,33,35,15,10,20,60,"1"
"73",0,1,4,0,0,3,25,51,4,2,30,70,"2"
"74",4,1,0,2,1,0,73,10,3,14,70,45,"1"
